The selected project is autoplex_project from config file /u/vld/sedm7085/.jfremote/autoplex_project.yaml

                                                                      Jobs info                                                                      
┏━━━━━━━┳━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━┳━━━━━━━━━━━┳━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━━━━━━━┓
┃ DB id ┃ Name                               ┃ State     ┃ Job id (Index)                            ┃ Worker                  ┃ Last updated [GMT] ┃
┡━━━━━━━╇━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━╇━━━━━━━━━━━╇━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━╇━━━━━━━━━━━━━━━━━━━━━━━━━╇━━━━━━━━━━━━━━━━━━━━┩
│ 2064  │ EOS_PBE_SOcoupled postprocessing   │ COMPLETED │ 1e313abf-3e7d-4465-812f-af2802edde49  (1) │ autoplex_project_worker │ 2025-11-21 10:56   │
│ 2056  │ static deformation 2               │ COMPLETED │ 64dd57c3-d040-4b85-bfd8-a1aca5c5768f  (1) │ autoplex_project_worker │ 2025-11-21 10:54   │
│ 2077  │ EOS_RSCAN_SOcoupled postprocessing │ COMPLETED │ df7a7bed-236c-4f20-91b3-8016bc00013e  (1) │ autoplex_project_worker │ 2025-11-20 22:17   │
│ 2075  │ static deformation 8               │ COMPLETED │ 4454e248-c6d5-407c-a0f3-c6c2bbe12c59  (1) │ autoplex_project_worker │ 2025-11-20 22:15   │
│ 2074  │ static deformation 7               │ COMPLETED │ 20ec7e86-cccd-48d6-8ddf-6704b33e60d3  (1) │ autoplex_project_worker │ 2025-11-20 22:12   │
│ 2071  │ static deformation 4               │ COMPLETED │ b2d55151-99f5-4f22-8cb4-20ea67be6b19  (1) │ autoplex_project_worker │ 2025-11-20 22:12   │
│ 2070  │ static deformation 3               │ COMPLETED │ 55a3c85a-dc12-4993-adad-6d8b18356151  (1) │ autoplex_project_worker │ 2025-11-20 22:12   │
│ 2068  │ static deformation 1               │ COMPLETED │ 708c1131-c5d4-4e46-ba60-335ab912a002  (1) │ autoplex_project_worker │ 2025-11-20 22:11   │
│ 2067  │ static deformation 0               │ COMPLETED │ e89b854d-c68a-408f-aa45-b19f3872b001  (1) │ autoplex_project_worker │ 2025-11-20 22:11   │
│ 2076  │ static deformation 9               │ COMPLETED │ 8b182f3b-4c6e-4389-83b2-74bce82627f4  (1) │ autoplex_project_worker │ 2025-11-20 22:00   │
│ 2072  │ static deformation 5               │ COMPLETED │ 08eac246-c451-4529-9570-0b2c47293a01  (1) │ autoplex_project_worker │ 2025-11-20 21:52   │
│ 2069  │ static deformation 2               │ COMPLETED │ 695d7d59-000f-4a32-be7f-e8b45a1cbe01  (1) │ autoplex_project_worker │ 2025-11-20 21:51   │
│ 2073  │ static deformation 6               │ COMPLETED │ fab30b98-ccb9-4e67-bfdc-69882d497d90  (1) │ autoplex_project_worker │ 2025-11-20 21:51   │
│ 2066  │ apply_strain_to_structure          │ COMPLETED │ 0f7aad5c-78c6-4cde-b9ea-e446dc21c425  (1) │ autoplex_project_worker │ 2025-11-20 21:33   │
│ 2065  │ EOS equilibrium relaxation         │ COMPLETED │ f9242bc1-0dd7-49c6-a3c1-9c6dd6fcff5b  (1) │ autoplex_project_worker │ 2025-11-20 21:31   │
│ 1960  │ castep_job                         │ COMPLETED │ 47d44192-1290-4a96-b1f5-2e6312b4db55  (1) │ autoplex_project_worker │ 2025-11-20 19:25   │
│ 2051  │ castep_job                         │ COMPLETED │ 1172ea21-00ea-48e8-ba93-452099a15bf1  (1) │ autoplex_project_worker │ 2025-11-20 19:21   │
│ 2050  │ castep_job                         │ COMPLETED │ 29b703d5-7ed7-4d23-bb56-c84131e6b8b5  (1) │ autoplex_project_worker │ 2025-11-20 18:37   │
│ 2049  │ castep_job                         │ COMPLETED │ 8fec67e2-c8e8-4cf4-a577-0f39035d36e5  (1) │ autoplex_project_worker │ 2025-11-20 17:59   │
│ 2048  │ castep_job                         │ COMPLETED │ 0dbd9884-a196-4cb7-8a4d-7fcbf05025f3  (1) │ autoplex_project_worker │ 2025-11-20 17:26   │
│ 2062  │ static deformation 8               │ COMPLETED │ d5a49bb2-c264-4bae-87e3-d143ac28619f  (1) │ autoplex_project_worker │ 2025-11-20 17:14   │
│ 2063  │ static deformation 9               │ COMPLETED │ 1b2e3032-fe02-4354-99a4-f3416886589b  (1) │ autoplex_project_worker │ 2025-11-20 17:12   │
│ 2061  │ static deformation 7               │ COMPLETED │ 8a631cda-d445-47cc-816b-eee6355be8cc  (1) │ autoplex_project_worker │ 2025-11-20 17:10   │
│ 2047  │ castep_job                         │ COMPLETED │ dcfea3f4-a349-4d8d-995f-abe149fe8128  (1) │ autoplex_project_worker │ 2025-11-20 16:59   │
│ 2060  │ static deformation 6               │ COMPLETED │ 084c239a-3388-4f20-9c35-c650c891fdf4  (1) │ autoplex_project_worker │ 2025-11-20 16:58   │
│ 2055  │ static deformation 1               │ COMPLETED │ 41b01ae7-9ac8-480c-ba2d-ca002b89c527  (1) │ autoplex_project_worker │ 2025-11-20 16:57   │
│ 2059  │ static deformation 5               │ COMPLETED │ 91b0b68e-56f2-4741-8407-665c173d8afe  (1) │ autoplex_project_worker │ 2025-11-20 16:56   │
│ 2054  │ static deformation 0               │ COMPLETED │ 89ca81cb-cd01-440f-afe3-f954cf7579cb  (1) │ autoplex_project_worker │ 2025-11-20 16:56   │
│ 2057  │ static deformation 3               │ COMPLETED │ a06247f1-bfee-459a-9972-acc312ace23e  (1) │ autoplex_project_worker │ 2025-11-20 16:56   │
